source,target,fsa_pa_similarity,fsa_grassmann,fsa_chordal,fsa_sa_error,fsa_sa_frob,fsa_angle_min,fsa_angle_mean,fsa_angle_max,fsa_n_aligned_dirs,fsa_rank,fsa_random_baseline,fsa_excess_over_random,gsa_ent_pa_similarity,gsa_ent_grassmann,gsa_ent_chordal,gsa_ent_sa_error,gsa_ent_sa_frob,gsa_ent_angle_min,gsa_ent_angle_mean,gsa_ent_angle_max,gsa_ent_n_aligned_dirs,gsa_ent_random_baseline,gsa_ent_excess_over_random,gsa_pse_pa_similarity,gsa_pse_grassmann,gsa_pse_chordal,gsa_pse_sa_error,gsa_pse_sa_frob,gsa_pse_angle_min,gsa_pse_angle_mean,gsa_pse_angle_max,gsa_pse_n_aligned_dirs,gsa_pse_random_baseline,gsa_pse_excess_over_random,gsa_ora_pa_similarity,gsa_ora_grassmann,gsa_ora_chordal,gsa_ora_sa_error,gsa_ora_sa_frob,gsa_ora_angle_min,gsa_ora_angle_mean,gsa_ora_angle_max,gsa_ora_n_aligned_dirs,gsa_ora_random_baseline,gsa_ora_excess_over_random,subspace_failed
covid_opacity,covid_opacity,0.9999999999999996,1.1348386266624791e-07,1.1920928955078125e-07,7.202726851840772e-15,0.9999999999999998,0.0,1.4176112451074768e-08,4.712160915387242e-08,32.0,32.0,0.0625,0.9374999999999996,0.4484533402886851,5.471040080905057,4.2011299802269955,4.2011299802269955,0.44845334028868516,0.14113606787202984,0.8663758630969616,1.5701866573575016,14.0,0.006944444444444444,0.4415088958442407,0.46289834662432505,5.274948762366855,4.145751187423287,4.145751187423286,0.46289834662432505,0.1393157047152618,0.8428605064741388,1.5427925506458022,15.0,0.006944444444444444,0.45595390217988063,0.9999999999999991,1.698993779866603e-07,1.6858739404357614e-07,7.23602816802868e-15,0.9999999999999992,0.0,2.7272126668374787e-08,4.942156062059701e-08,32.0,0.006944444444444444,0.9930555555555547,0
covid_opacity,covid_covid,0.7674428127223465,3.2718296496703894,2.7279717727434263,2.7279717727434263,0.7674428127223463,0.012518120299957412,0.44090446778010395,1.4716434006007677,27.0,32.0,0.0625,0.7049428127223465,0.4316154936624967,5.595951354855643,4.2647748126718374,4.264774812671837,0.4316154936624967,0.13948299985031018,0.888385439954384,1.5526553326677675,14.0,0.006944444444444444,0.42467104921805227,0.4031531189782323,5.7477942630333345,4.370251731044399,4.370251731044399,0.4031531189782322,0.14938740986270468,0.9228496794036318,1.563454536430086,13.0,0.006944444444444444,0.3962086745337879,0.40381931048830605,5.723274211329166,4.367812045449552,4.367812045449553,0.403819310488306,0.16668142764380006,0.9213843939120483,1.5703409455017492,13.0,0.006944444444444444,0.39687486604386163,0
covid_opacity,tb_qatar,0.6198358252280056,4.354684761950102,3.4878723590039558,3.4878723590039558,0.6198358252280056,0.013824435403915255,0.6283697027867856,1.533548140054749,21.0,32.0,0.0625,0.5573358252280056,0.4299228187138191,5.580778406477498,4.271120438615351,4.271120438615351,0.4299228187138188,0.14481413309164662,0.8885020119685846,1.5490914246380902,13.0,0.006944444444444444,0.4229783742693747,0.4064703538460692,5.677443432667971,4.35809002625299,4.35809002625299,0.40647035384606917,0.15699211859481607,0.9151438402160889,1.5592113300052795,13.0,0.006944444444444444,0.3995259094016248,0.3789515004912465,5.868662802449716,4.45797622069478,4.457976220694778,0.3789515004912466,0.14550097576509927,0.9500585664980864,1.5543664150829795,12.0,0.006944444444444444,0.37200705604680206,0
covid_opacity,shenzhen,0.5231976995035239,5.040301363148281,3.90610722022415,3.906107220224148,0.523197699503524,0.04026555218395032,0.7635633627567492,1.549298623269104,17.0,32.0,0.0625,0.4606976995035239,0.3843249504814905,5.849244882831876,4.43864862143787,4.43864862143787,0.3843249504814904,0.21668203880852188,0.9494966871936221,1.5514933234282202,12.0,0.006944444444444444,0.3773805060370461,0.3676148457907324,5.913901918367943,4.498480291687023,4.498480291687023,0.3676148457907325,0.22609995736730606,0.9670061787307082,1.5442971897968212,12.0,0.006944444444444444,0.36067040134628797,0.37356309041305086,5.8953378958785585,4.477273847642376,4.477273847642378,0.3735630904130508,0.2411533430583773,0.9622732102538549,1.564808243406666,12.0,0.006944444444444444,0.36661864596860644,0
covid_opacity,nih_pa,0.6708079941332821,3.961531498578493,3.245634635589005,3.2456346355890067,0.6708079941332816,0.01236105284924775,0.5629147233494363,1.4447716919761933,22.0,32.0,0.0625,0.6083079941332821,0.42908685208348896,5.617440801920098,4.274250897330239,4.274250897330239,0.42908685208348896,0.15422104489526342,0.8921348048731101,1.559026227445792,13.0,0.006944444444444444,0.42214240763904454,0.4097220572329616,5.6919107498410515,4.346135544198458,4.3461355441984555,0.4097220572329617,0.16491073875982795,0.9143211505714137,1.5544751481205994,13.0,0.006944444444444444,0.4027776127885172,0.418678375419308,5.707437430607765,4.313037443215877,4.313037443215876,0.4186783754193081,0.17190091271175204,0.9083410417802421,1.5644070900508569,14.0,0.006944444444444444,0.4117339309748636,0
covid_opacity,nih_ap,0.8232008677445306,2.7331139686772667,2.37856516248242,2.3785651624824182,0.8232008677445307,0.017314994584127896,0.3761022042991926,1.362499615399753,29.0,32.0,0.0625,0.7607008677445306,0.41269943402560194,5.65693126708223,4.3351606788192685,4.335160678819267,0.4126994340256019,0.17249893045940803,0.9099822416372028,1.560817607746147,14.0,0.006944444444444444,0.4057549895811575,0.3907954341163081,5.763326223083601,4.4152628583446925,4.415262858344692,0.3907954341163082,0.17594274751279934,0.9360886042980661,1.5587642483012771,13.0,0.006944444444444444,0.3838509896718637,0.36817146905771503,5.858286046005108,4.496500082303248,4.496500082303249,0.36817146905771486,0.1898659509418321,0.9590605404229924,1.565542646036916,11.0,0.006944444444444444,0.3612270246132706,0
covid_opacity,indiana,0.5827420339404956,4.6426179786796125,3.654073742264124,3.6540737422641234,0.5827420339404957,0.02166076496964411,0.6806249691757255,1.5682200562230022,20.0,32.0,0.0625,0.5202420339404956,0.42034766381015026,5.61575324990831,4.3068404611820945,4.3068404611820945,0.4203476638101503,0.1711924664163007,0.8998808111791714,1.5674214363495065,13.0,0.006944444444444444,0.41340321936570584,0.42118694899594855,5.577404414652082,4.30372137017833,4.303721370178329,0.4211869489959485,0.17900277072821585,0.8977538655645523,1.5453439929754922,14.0,0.006944444444444444,0.41424250455150413,0.41505851027586826,5.693737536299383,4.326445154069587,4.326445154069587,0.41505851027586843,0.17829006329425656,0.9103706967766546,1.5619921438566624,13.0,0.006944444444444444,0.40811406583142384,0
covid_covid,kermany_peds,0.5052908273042306,5.091487367325368,3.978780406891617,3.978780406891616,0.5052908273042308,0.04819369161629206,0.787993435450592,1.569882129986701,16.0,32.0,0.0625,0.4427908273042306,0.3025543688609886,6.221387724670195,4.724220591425464,4.724220591425464,0.30255436886098863,0.24883315402195433,1.041032102097353,1.5698756661082731,8.0,0.006944444444444444,0.29560992441654416,0.28879129872871134,6.325752821258304,4.770605668118173,4.770605668118173,0.28879129872871134,0.25960629365234494,1.0607178725880835,1.5684365957039117,9.0,0.006944444444444444,0.2818468542842669,0.31692935536940253,6.137607137960123,4.675281876868936,4.675281876868936,0.31692935536940264,0.25664761289287286,1.0245248523062944,1.544480088435551,10.0,0.006944444444444444,0.3099849109249581,0
covid_covid,covid_viral,0.6097964003928843,4.665721157547997,3.5336263508508794,3.5336263508508816,0.6097964003928842,0.016817497204956396,0.6341085318915792,1.5591845644721871,19.0,32.0,0.0625,0.5472964003928843,0.42526756507687985,5.566176755719395,4.288523978892953,4.288523978892954,0.4252675650768798,0.11996254540674631,0.891138902321622,1.5452557512027854,14.0,0.006944444444444444,0.41832312063243543,0.35288947028691614,6.022542551997802,4.5505534774155425,4.550553477415543,0.3528894702869161,0.16933684694139645,0.9864968617724961,1.5546078702251416,11.0,0.006944444444444444,0.3459450258424717,0.2809011590432277,6.342467374266128,4.796995196017681,4.79699519601768,0.2809011590432277,0.2766381009353083,1.0684309001422914,1.5699916404692222,7.0,0.006944444444444444,0.2739567145987833,0
covid_covid,covid_opacity,0.576321061434428,4.921108364903488,3.682081752772242,3.6820817527722416,0.5763210614344281,0.017963939513737894,0.6823592668203582,1.562620293727348,18.0,32.0,0.0625,0.513821061434428,0.4811324460580563,5.211526021244628,4.074771371027116,4.074771371027115,0.48113244605805633,0.12510390379243586,0.8239185000502909,1.5706802707446348,17.0,0.006944444444444444,0.47418800161361185,0.4282350214702249,5.510112097160652,4.27743840551244,4.277438405512441,0.4282350214702249,0.16424088936303757,0.8884880042352699,1.5556013315776156,14.0,0.006944444444444444,0.4212905770257805,0.489860765113938,5.183255664037298,4.04035339003335,4.040353390033349,0.4898607651139381,0.12095789267299761,0.8128502321919153,1.5631595324495131,17.0,0.006944444444444444,0.4829163206694936,0
